index,name,parent,articles,category
350,Dassault Systèmes’ SolidWorks, Computer-aided design (CAD) Software,"117,126",Technology
351,Siemens NX,Computer-aided design (CAD) Software,"116,126,142",Technology
352,Finite Element Analysis (FEA) Software, Digital Twins,,Technology
353,Xcos, Finite Element Analysis (FEA) Software,120,Technology
354,CREO Simulate,    Finite Element Analysis (FEA) Software,"114,117",Technology
355,Simulation software, Digital Twins,"385,386",Technology
356,SimulationX, Simulation software,119,Technology
357,Xcelgo’s Experior, Simulation software,"118,128",Technology
358,Tecnomatix Plant Simulation, Simulation software,"113,124,127,129,142,192,218",Technology
359,FlexSim, Simulation software,138,Technology
360,SimPy, Simulation software,121,Technology
361,SIMIT simulation platform, Simulation software,142,Technology
362,Emulate3D, Simulation software,113,Technology
363,FastSuite, Simulation software,142,Technology
364,CIROS Studio, Simulation software,106,Technology
365,AutoMod, Simulation software,113,Technology
366,1 Anylogic Simulation, Simulation software,123,Technology
367,1 RF :: Suite, Simulation software,142,Technology
368,1 S7-PLCSIM Advanced, Simulation software,"124,142",Technology
369,1 Automation Studio, Simulation software,137,Technology
370,1 OpenSimulator, Simulation software,121,Technology
371,1 Dassault Dymola, Simulation software,105,Technology
372,1 DynSOx, Simulation software,71,Technology
373,1 ClearView Ammonia, Simulation software,72,Technology
374,1 COMSOL,Simulation software,115,Technology
375,20. MSC ADAMS,Simulation software,115,Technology
376,2 Ansys,Simulation software,115,Technology
377,DTs management and Orchestration Framework, Digital Twins,,Technology
378,Eclipse Ditto, DTs management and Orchestration Framework,73,Technology
379,Digital Twin Data Modelling, Digital Twins,,Technology
380,AutomationML, Digital Twin Data Modelling,"110,117,122,152,307",Technology
381,Virtual Process Controllers (VPC), Digital Twins,395,Technology
382,Industrial Robotics,  ,"12,41,50,85,88,97,130,131,132,134,135,136,137,141,144,191,194,269,305,307,350,404,408,410,412,406,427,430,430,440",Technology
383,Offline Robot Programming and Simulation, Industrial Robotics,"385,386",Technology
384,ABB RobotStudio, Offline Robot Programming and Simulation,"124,142,350",Technology
385,Roboguide, Offline Robot Programming and Simulation,142,Technology
386,Polyscope software,Offline Robot Programming and Simulation,128,Technology
387,KUKASim,Offline Robot Programming and Simulation,142,Technology
388,Delmia V5 Robotics,Offline Robot Programming and Simulation,142,Technology
389,URSim,Offline Robot Programming and Simulation,128,Technology
390,ARIA programming package,Offline Robot Programming and Simulation,50,Technology
391,Middleware, Industrial Robotics,,Technology
392,ROS (Robot Operating System), Middleware,"85,88,100,132,133,172",Technology
393,Augmented Reality (AR) and Virtual Reality (VR),  ,,Technology
394,Virtual Reality, Augmented Reality (AR) and Virtual Reality (VR),"12,93,124,233,240,279,293,299,340,344,412",Technology
395,VR glasses, Virtual Reality,,Technology
396,Oculus Rift HMD, VR glasses,"47,101,103",Technology
397,HTC Vive, VR glasses,102,Technology
398,Augmented Reality,    Augmented Reality (AR) and Virtual Reality (VR),"8,75,83,131,218,233,237,279,404,408,412,406,435,436,440",Technology
399,AR glasses, Augmented Reality,,Technology
400,Microsoft HoloLens, AR glasses,"47,74,76,78,80,82,85,88,89,92,94,96,98,99,441",Technology
401,Vuzix Smart Glasses, AR glasses,"78,81",Technology
402,Magic Leap 1,AR glasses,76,Technology
403,Glass-up F4,AR glasses,87,Technology
404,LindeGO smart glasses,AR glasses,93,Technology
405,Epson Moverio BT-35E,AR glasses,95,Technology
406,Meta 2 AR glasses,AR glasses,97,Technology
407,AR Software Development Kits, Augmented Reality,,Technology
408,Soldamatic Simulator, AR Software Development Kits,"47,93",Technology
409,HoloToolkit (HTK),AR Software Development Kits,"74,89",Technology
410,Google Project Tango Development Kit,AR Software Development Kits,77,Technology
411,ARKit framework,AR Software Development Kits,"77,79",Technology
412,Vuforia Engine,AR Software Development Kits,"77,78,88,90,91,233,426,441",Technology
413,Pixyz Software,AR Software Development Kits,78,Technology
414,ARCore,AR Software Development Kits,"84,100,169",Technology
415,Wikitude Studio,AR Software Development Kits,86,Technology
416,Maxst,AR Software Development Kits,95,Technology
417,EasyAR,AR Software Development Kits,95,Technology
418,1 Mixed Reality Toolkit (MRTK),AR Software Development Kits,96,Technology
419,AR and VR Software development Platforms and Technologies, Augmented Reality (AR) and Virtual Reality (VR),"423,424,425,434",Technology
420,Unity, AR and VR Software development Platforms and Technologies,"74,76,77,78,84,85,88,89,90,91,94,96,97,98,101,102,103,104,105,110,124 ,125,169,175,233,370,426,441",Technology
421,Autodesk 3ds Max, AR and VR Software development Platforms and Technologies,,Technology
422,Blender, AR and VR Software development Platforms and Technologies,"85,124",Technology
423,Motion Capture (MoCap),  AR and VR Software development Platforms and Technologies,"51,83,178,415",Technology
424,WebXR, AR and VR Software development Platforms and Technologies,47,Technology
425,Additive manufacturing,  ,"92,132,161,174,238,252,408,410,412,417,440",Technology
426,3D Printers, Additive manufacturing,,Technology
427,Creality C, 3D Printers,,Technology
428,DR10,3D Printers,107,Technology
429,Craftbot plus,3D Printers,108,Technology
430,3D Printing Technologies, Additive manufacturing,,Technology
431,Fused Deposition Modeling (FDM),  3D Printing Technologies,109,Technology
432,Selective Laser Sintering (SLS), 3D Printing Technologies,109,Technology
433,Selective Laser Melting (SLM), 3D Printing Technologie,426,Technology
434,Polyjet Modeling (PJM), 3D Printing Technologie,109,Technology
435,Fused Filament Fabrication, 3D Printing Technologie,"155,426",Technology
436,Cybersecurity Technologies,  ,"70,122,160,314,398,404,406",Technology
437,Security Virtualization, Cybersecurity Technologies,,Technology
438,Virtual Machine Monitor (VMM), Security Virtualization,309,Technology
439,Data Protection, Cybersecurity Technologies,,Technology
440,Secure Communication Protocols, Data Protection,387,Technology
441,MACsec, Secure Communication Protocols,"181,306",Technology
442,Key Management System (KMS), Data Protection,195,Technology
443,Public Key Infrastructure (PKI), Data Protection,"179,294",Technology
444,Encryption, Data Protection,"90,179,181,195,236,309,331,396,425",Technology
445,Tokenization, Data Protection,236,Technology
446,Blockchain, Data Protection,"18,148,166,167,171,176,254,256,265,282,283,285,318,326,369,376,410",Technology
447,Hyperledger Fabric, Blockchain,"10,149",Technology
448,Ethereum virtual machine, Blockchain,"10,148,152",Technology
449,Identity and Access Management, Cybersecurity Technologies,,Technology
450,Protocols, Identity and Access Management,,Technology
451,Lightweight Directory Access Protocol (LDAP), Protocols,390,Technology
452,User Management, Identity and Access Management,,Technology
453,Passwords, User Management,"70,309,387",Technology
454,Authentication, Identity and Access Management,"90,179,181,236,387",Technology
455,Authorization, Identity and Access Management,"179,181,236",Technology
456,Security Operations, Cybersecurity Technologies,,Technology
457,Change Management, Security Operations,,Technology
458,Asset Management, Change Management,338,Technology
459,Threat Detection and Analysis, Security Operations,,Technology
460,Threat Intelligence, Threat Detection and Analysis,,Technology
461,Honeypot Networks, Threat Intelligence,195,Technology
462,Advanced Malware Detection,    Threat Detection and Analysis,309,Technology
463,Foundational Security, Cybersecurity Technologies,,Technology
464,Network Security, Foundational Security,,Technology
465,Firewall, Network Security,"181,387",Technology
466,Port Knocking Method, Firewall,70,Technology
467,Intrusion Detection Systems/Intrusion Prevention Systems (IDS/IPS), Network Security,"195,203,236,239,401",Technology
468,Network Access Control, Network Security,"236,309,338",Technology
469,Virtual Private Networks (VPN), Network Security,"90,236,409",Technology
470,DDoS Mitigation, Network Security,"181,236",Technology
